Time Since Start,Pressure,Flow,Apparent Power Ext,Apparent Power Int,Active Power Ext,Active Power Int,Reactive Power Ext,Reactive Power Int,World Time
205,5.471033,0.540194,537.9356,23.63288,537.9347,11.79755,31.92908,-15.089455,11:37.2
206,5.471009,0.540194,537.8095,23.65297,537.869,11.446668,31.79568,-15.18283,11:38.2
207,5.471045,0.540194,537.6792,23.65516,537.6719,11.90438,31.81881,-15.301636,11:39.2
208,5.471106,0.540194,537.8447,23.64776,537.8448,12.077353,31.82193,-15.349427,11:40.2
209,5.471143,0.5403161,537.6969,23.66778,537.7073,11.558322,31.93578,-15.23475,11:41.2
210,5.47107,0.540194,537.6558,23.65612,537.6414,11.695377,31.91519,-15.12952,11:42.2
211,5.471106,0.540194,537.7884,23.65139,537.6757,11.974993,31.83816,-15.241271,11:43.2
212,5.471082,0.540194,537.8582,23.62819,537.7892,11.887679,31.82715,-15.114954,11:44.2
213,5.471045,0.6388017,526.8325,23.20165,537.872,12.310184,41.99398,-14.620859,11:45.2
214,5.471057,0.540194,537.9376,23.64275,537.9715,11.963773,31.88781,-15.235901,11:46.2
215,5.470996,0.540194,537.9688,23.6426,537.8801,11.872527,32.01762,-15.378302,11:47.2
216,5.471033,0.540194,538.054,23.63646,537.979,11.577185,31.79153,-15.377717,11:48.2
217,5.471009,0.540194,538.0358,23.63714,537.933,11.612186,31.71565,-15.227762,11:49.2
218,5.47096,0.540194,538.1242,23.6122,538.1059,11.654505,31.72933,-15.14266,11:50.2
219,5.470996,0.540194,537.8557,23.6339,537.8763,11.256292,31.73921,-15.169065,11:51.2
220,5.471021,0.540194,537.7116,23.67697,537.786,11.666515,31.56943,-15.314037,11:52.2
221,5.471033,0.540194,537.6645,23.68094,537.6461,11.61434,31.48052,-15.297763,11:53.2
222,5.470948,0.540194,537.2904,23.69145,537.2647,11.508324,31.80141,-15.119105,11:54.2
223,5.471033,0.540255,537.0418,23.7145,537.0538,11.807904,31.82134,-15.179801,11:55.2
224,5.470948,0.540194,536.6959,23.66906,536.7123,12.038583,31.70563,-15.144314,11:56.2
225,5.470984,0.540194,536.427,23.6716,536.5147,12.010395,31.49864,-15.147983,11:57.2
226,5.471082,0.540194,536.4072,23.68899,536.3949,11.929282,31.6603,-15.226533,11:58.2
227,5.47107,0.540194,536.555,23.6367,536.5402,12.089229,31.79453,-15.133361,11:59.2
