Order Number,Carrier ID,Actual Heat,Target Heat,Actual Time,Target Time,Full Station Time,World Time
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:19.097722
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:19.350394
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:19.594042
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:19.846714
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:20.089359
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:20.336016
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:20.577659
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:20.822310
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:21.072976
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:21.330662
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:21.574310
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:21.825980
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:22.069629
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:22.310268
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:22.566955
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:22.810600
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:23.061267
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:23.307922
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:23.553576
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:23.817277
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:24.065940
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:24.310589
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:24.554238
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:24.806911
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:25.049556
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:25.301226
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:25.548884
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:25.799552
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:26.053226
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:26.297876
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:26.544534
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:26.803221
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:27.045867
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:27.289515
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:27.544194
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:27.784832
